id,A,B,C,budget,history,age
193,33,46,18,26261,A,51
194,31,30,40,9695,B,28
195,36,27,32,41338,C,29
196,9,2,42,3712,C,23
197,10,47,23,21738,A,50
198,6,15,32,16397,A,23
199,5,25,48,13501,C,20
200,13,12,40,45920,C,33
201,26,18,1,14937,C,39
202,11,33,5,44233,A,22
203,46,22,50,42275,C,52
204,42,19,32,4803,B,20
205,21,18,22,9793,B,48
206,16,47,13,47129,C,40
207,29,24,23,47074,A,29
208,26,23,3,6479,B,57
209,24,49,49,3517,C,60
210,20,20,9,3172,A,31
211,41,48,6,18827,C,39
212,36,12,27,34243,A,49
213,35,27,8,20993,B,37
214,36,13,17,19530,B,53
215,45,5,11,24662,A,29
216,4,3,48,27543,A,27
217,13,1,26,8806,B,31
218,31,3,10,42147,B,29
219,13,31,26,18772,A,51
220,48,25,37,39130,B,24
221,13,17,22,6703,C,19
222,23,29,37,15389,C,51
223,50,29,16,14943,B,21
224,38,26,34,9450,B,53
225,1,49,48,6970,B,56
226,40,3,44,34932,B,38
227,20,46,5,18535,B,49
228,7,38,44,3941,A,50
229,12,9,33,15866,B,20
230,16,18,41,40783,C,47
231,39,6,20,25917,B,48
232,5,35,18,49996,A,24
233,15,36,24,25708,A,29
234,39,46,4,30852,B,34
235,11,44,20,9800,A,32
236,49,23,6,5153,C,27
237,16,38,31,49680,B,57
238,14,15,1,14977,C,34
239,43,50,2,13948,B,59
240,50,5,39,17786,B,36
241,25,48,31,26656,C,22
242,19,44,21,11765,C,31
243,8,12,4,4175,A,55
244,14,32,9,21879,B,49
245,39,50,20,36814,B,49
246,16,6,19,39789,B,56
247,20,4,47,12773,A,41
248,37,50,24,26826,A,49
249,5,47,43,5129,A,23
250,4,49,38,22861,C,60
251,2,29,6,17143,C,59
252,17,19,45,18193,B,36
253,45,10,4,25225,A,28
254,9,38,18,16380,B,35
255,50,44,6,26107,C,36
256,11,46,29,38045,B,29
257,5,7,13,13010,B,27
258,9,7,50,27111,A,33
259,36,34,41,4166,C,54
260,2,3,35,17124,B,47
261,32,48,44,33603,B,44
262,8,45,3,38352,C,33
263,12,21,32,9964,B,59
264,18,15,23,34229,A,48
265,26,6,28,9492,C,29
266,1,24,28,49574,A,40
267,7,11,21,49733,B,43
268,47,43,13,9995,C,60
269,28,5,15,36284,B,53
270,31,5,13,40891,C,35
271,42,16,36,29631,C,57
272,43,5,18,23685,B,51
273,3,7,36,13374,A,35
274,10,48,39,18375,C,42
275,43,25,1,31307,A,60
276,47,25,49,45257,C,16
277,24,12,36,38791,C,17
278,25,30,25,6576,A,56
279,10,44,16,25762,B,40
280,23,12,12,49086,A,40
281,44,46,37,18473,C,46
282,22,48,37,49239,B,46
283,44,1,2,40694,C,26
284,25,10,32,37054,A,46
285,19,49,16,19616,C,32
286,40,47,27,48454,B,44
287,37,37,46,46178,B,44
288,42,19,11,9194,B,42
289,49,15,24,7738,B,54
290,30,26,2,41748,C,34
291,36,1,14,37846,B,48
292,25,19,1,40317,A,41
293,18,10,12,8976,C,19
294,25,30,1,28205,C,57
295,16,37,2,12401,B,34
296,3,18,1,17579,A,16
297,9,46,23,38277,B,20
298,27,39,2,31397,B,46
299,10,11,47,11146,B,55
300,41,42,30,9672,A,43
301,11,21,6,12362,C,39
302,50,12,16,45105,A,31
303,44,33,11,42207,C,24
304,7,22,39,44610,A,24
305,50,8,44,48983,C,46
306,2,6,7,23374,A,41
307,25,46,40,47431,A,19
308,27,10,21,28665,C,54
309,49,32,2,44587,B,40
310,49,49,11,39884,B,44
311,45,14,43,13651,A,47
312,37,33,21,41852,C,50
313,37,3,4,14898,A,59
314,1,40,28,34537,C,50
315,2,28,14,40013,C,43
316,2,26,30,22089,C,23
317,2,26,15,43803,A,25
318,36,15,30,16613,B,55
319,23,23,6,49025,C,17
320,31,2,34,20930,C,25
321,23,16,45,5382,A,37
322,10,16,16,31982,B,57
323,27,9,26,29149,B,25
324,29,34,43,44421,A,56
325,46,22,32,45233,B,24
326,5,8,46,33863,A,34
327,28,8,11,28436,C,20
328,41,27,47,33933,A,55
329,10,27,29,3767,C,55
330,46,32,10,18583,B,35
331,9,32,10,27047,C,18
332,31,47,38,44056,B,45
333,35,39,5,14485,C,29
334,35,27,5,29139,A,21
335,9,16,29,32556,C,58
336,16,36,24,41705,A,27
337,23,16,29,30906,C,35
338,22,16,45,11218,B,53
339,45,33,9,22286,B,30
340,13,44,48,7424,B,16
341,13,5,19,46793,B,26
342,47,13,48,31539,A,19
343,5,9,5,5183,C,27
344,19,22,2,30836,B,55
345,8,11,43,29786,B,25
346,50,24,23,36211,C,55
347,2,25,21,29435,B,53
348,24,29,16,17814,C,42
349,50,50,9,24965,C,51
350,38,7,4,22893,C,17
351,45,41,45,21205,A,22
352,25,41,44,4303,C,46
353,26,6,8,14607,B,35
354,6,11,13,25765,A,18
355,39,43,11,17737,B,48
356,29,31,50,47800,A,45
357,46,3,22,39336,A,29
358,44,41,23,22805,C,28
359,29,6,42,41632,B,52
360,31,49,1,48566,B,32
361,10,38,33,9206,A,55
362,20,23,26,34347,C,34
363,28,47,8,48172,B,34
364,28,31,41,15279,C,49
365,39,28,13,6915,C,56
366,14,32,32,11434,B,26
367,24,19,42,6932,C,28
368,28,24,17,17891,B,43
369,13,34,13,15164,B,49
370,31,29,27,49171,A,25
371,29,12,43,49484,A,56
372,50,38,1,4611,C,28
373,14,35,41,30032,A,34
374,27,4,7,34072,B,52
375,41,45,22,14247,A,40
376,4,43,20,39143,A,22
377,17,20,8,14302,B,19
378,8,3,35,47025,C,33
379,47,18,20,12643,C,46
380,33,49,26,36247,B,34
381,45,13,29,5680,C,57
382,40,16,2,9005,A,51
383,24,41,1,16395,B,36
384,9,28,5,16358,A,28
385,32,2,50,5986,B,35
386,36,36,29,29682,C,58
387,48,28,43,6567,A,60
388,19,35,2,22192,C,22
389,28,21,19,11048,C,50
390,44,1,33,12200,B,19
391,26,4,14,24187,A,47
392,48,9,38,22047,B,33
393,38,6,1,44790,B,31
394,34,20,17,44424,A,31
395,50,7,48,42319,A,35
396,9,24,15,13833,B,36
397,35,12,8,21387,C,20
398,4,47,46,42790,A,58
399,26,20,35,47526,C,20
400,35,20,29,23165,A,20
401,42,30,34,8911,C,37
402,26,43,40,49780,A,26
403,39,47,6,35556,C,34
404,23,36,14,27574,C,42
405,21,5,24,3291,B,17
406,4,48,35,46518,B,44
407,46,8,1,43982,B,32
408,8,47,15,11819,C,49
409,34,8,33,43771,C,41
410,22,31,11,26388,B,16
411,20,38,8,10651,A,29
412,31,19,23,23316,A,60
413,5,18,35,42182,A,38
414,15,8,26,42540,B,24
415,3,43,6,16600,C,34
416,40,23,18,24398,A,41
417,38,2,28,14890,B,25
418,5,46,36,13428,A,38
419,35,20,28,14925,C,53
420,31,9,34,23000,B,24
421,50,44,25,22734,B,47
422,17,40,28,27685,C,23
423,29,22,17,14509,A,50
424,46,9,17,28327,C,18
425,34,28,41,20866,B,43
426,31,44,41,30110,B,37
427,1,47,17,17154,B,58
428,31,14,8,11133,A,51
429,41,45,17,47392,C,23
430,25,25,21,29061,C,31
431,28,36,7,19012,A,47
432,2,31,20,6615,C,37
433,22,45,14,17333,B,32
434,5,22,26,38272,B,56
435,18,50,13,14584,A,47
436,33,24,36,32839,C,27
437,15,45,28,39029,B,60
438,37,45,18,25010,C,47
439,28,39,13,5712,C,48
440,3,9,1,40492,B,55
441,25,15,36,7088,B,26
442,36,15,30,37936,B,19
443,31,5,36,34758,B,26
444,45,15,8,11916,C,35
445,20,50,12,12920,A,28
446,16,12,38,16448,B,36
447,19,42,32,4053,C,60
448,11,27,26,9260,A,18
449,23,33,42,15170,C,36
450,11,23,37,41232,B,25
451,19,49,45,16673,B,23
452,33,43,39,33827,C,53
453,29,35,38,19276,C,56
454,1,2,16,43775,A,38
455,8,31,29,49845,B,31
456,28,8,50,19779,C,19
457,23,47,39,20122,C,28
458,41,16,22,40276,C,50
459,34,49,1,6293,C,21
460,39,33,15,9478,A,42
461,37,41,32,43647,B,53
462,47,33,13,6351,B,24
463,32,40,45,20178,A,47
464,31,40,32,30810,B,29
465,25,27,20,48146,B,57
466,2,3,8,48844,C,29
467,20,47,13,41057,A,35
468,23,46,14,20585,B,19
469,26,6,8,37140,B,26
470,11,26,10,42538,A,58
471,5,40,22,14281,B,48
472,14,49,13,4047,B,44
473,49,5,18,16388,C,17
474,27,9,23,40012,B,17
475,19,44,27,25130,A,48
476,37,15,1,30996,C,37
477,16,29,22,16416,A,48
478,20,21,19,10017,A,26
479,48,44,28,49857,C,50
480,44,2,11,17474,B,56
481,10,19,48,16467,B,29
482,48,26,4,42856,C,31
483,2,24,17,7174,B,22
484,45,30,32,34412,C,45
485,4,3,45,15502,B,50
486,19,30,40,37403,A,20
487,48,13,45,24891,B,17
488,49,25,39,24080,B,58
489,20,28,49,16528,C,25
490,45,23,27,19250,C,51
491,43,28,24,3509,C,53
492,41,14,36,26131,A,60
493,5,6,6,4916,B,24
494,17,29,10,14843,A,52
495,31,28,45,27692,A,36
496,26,10,25,25966,A,21
497,33,15,41,43371,C,58
498,18,42,7,37291,A,37
499,18,15,38,19218,C,32
500,34,45,47,19058,B,18
501,31,41,27,23475,C,20
502,27,38,14,6340,A,35
503,25,6,13,22109,B,20
504,17,18,50,34922,B,27
505,4,50,11,32401,A,59
506,50,17,3,42808,A,21
507,27,42,29,14096,C,33
508,8,35,30,37870,A,48
509,39,49,17,6619,A,47
510,33,22,37,45727,B,48
511,23,48,26,46065,A,27
512,26,5,41,24682,B,25
513,41,4,45,29012,B,27
514,37,30,48,13706,B,53
515,46,10,38,22541,A,49
516,22,44,21,19241,C,58
517,30,15,39,31970,C,27
518,38,34,31,46890,B,21
519,38,24,18,38471,A,56
520,49,43,21,13121,B,46
521,22,17,18,8492,C,31
522,30,17,32,30714,C,51
523,49,15,5,26820,C,59
524,36,7,32,35283,A,37
525,8,12,43,16399,C,29
526,49,29,10,15769,A,30
527,39,25,5,11594,A,48
528,4,40,42,48570,A,18
529,9,28,16,7873,A,36
530,6,6,34,22536,C,23
531,10,27,23,6838,B,37
532,16,34,41,35645,C,20
533,39,28,12,12047,A,28
534,1,25,9,15909,A,57
535,42,50,23,32524,C,36
536,44,35,32,40097,C,19
537,47,37,31,25291,C,26
538,4,46,42,11197,C,20
539,12,6,34,16572,A,48
540,6,13,21,45777,B,32
541,28,41,49,28854,A,59
542,8,4,34,41222,C,23
543,7,9,14,20559,A,28
544,3,10,10,37186,C,41
545,40,2,40,14447,B,51
546,32,28,24,47526,B,22
547,42,2,22,5432,A,46
548,46,39,2,49236,C,29
549,9,48,43,23535,C,27
550,24,19,19,42738,C,25
551,26,32,33,31384,C,51
552,13,24,36,16930,B,20
553,22,18,50,40007,A,51
554,34,21,5,32077,C,50
555,45,39,41,19526,B,26
556,49,34,30,47297,C,33
557,50,1,3,18254,A,32
558,49,8,37,21683,C,30
559,49,50,40,20765,A,48
560,13,28,20,8224,A,56
561,10,18,19,40356,C,36
562,33,25,28,29792,C,33
563,32,30,34,6307,A,48
564,27,14,10,20238,A,31
565,50,24,43,24518,C,29
566,38,1,31,11745,C,41
567,40,47,16,43749,C,32
568,46,37,33,28300,C,60
569,42,20,5,4868,C,53
570,17,9,50,24478,C,24
571,36,10,48,21891,C,24
572,4,34,2,20959,B,49
573,23,6,16,41817,A,59
574,11,30,48,15452,B,55
575,16,42,30,4735,A,51
576,46,26,39,13830,A,54
577,48,4,6,28435,B,17
578,24,2,40,25487,B,18
579,43,50,48,37869,B,49
580,21,29,22,5208,C,40
581,49,42,29,18072,C,44
582,28,46,39,33154,A,45
583,2,32,27,22329,C,42
584,40,6,36,24713,B,16
585,25,11,36,32625,B,54
586,24,44,6,46270,A,56
587,8,31,24,24641,A,31
588,49,22,48,12662,A,50
589,36,9,2,29440,C,27
590,2,7,10,30600,C,56
591,38,17,4,17383,C,49
592,29,29,44,17094,C,35
593,9,30,2,42265,A,19
594,27,35,2,10604,C,33
595,50,28,40,13462,C,35
596,34,6,1,40373,A,58
597,28,50,33,43975,B,18
598,43,40,14,21267,C,37
599,47,22,32,11582,B,24
600,29,27,28,13612,B,19
601,17,46,47,13039,B,58
602,7,27,11,5625,B,40
603,20,10,40,7603,C,33
604,38,23,23,13072,B,60
605,30,22,46,26016,A,20
606,23,40,15,42211,A,45
607,15,3,28,5060,C,59
608,34,12,49,18969,C,26
609,46,16,7,16192,C,40
610,28,3,50,30104,C,21
611,38,7,50,6413,B,18
612,31,41,10,21423,A,56
613,10,31,15,27479,A,29
614,2,49,23,42660,B,31
615,48,28,42,15541,C,17
616,47,10,2,48290,A,49
617,19,20,43,18336,C,32
618,12,50,36,47032,B,28
619,48,3,10,16302,C,32
620,32,22,22,10114,C,56
621,32,28,44,10690,A,38
622,13,21,21,12126,A,60
623,14,44,30,4733,A,51
624,18,44,12,11247,C,43
625,42,26,20,8588,C,59
626,45,34,39,4947,B,56
627,47,36,38,16167,B,27
628,30,42,24,37113,B,29
629,47,31,27,3012,A,37
630,24,49,11,15143,B,54
631,25,7,41,18988,A,27
632,50,1,50,49185,C,48
633,42,10,25,48696,A,28
634,18,36,7,42765,B,23
635,20,15,37,40024,A,41
636,34,38,38,3023,A,32
637,2,7,35,15917,B,45
638,3,10,20,39701,A,17
639,49,28,3,14867,B,37
640,38,11,15,16618,A,17
641,47,24,33,24970,B,52
642,45,37,26,27184,A,53
643,11,10,25,19746,B,16
644,30,28,37,19056,A,59
645,27,18,32,27348,B,42
646,30,41,23,17393,C,43
647,50,30,12,10592,B,39
648,43,46,38,3864,C,45
649,39,47,6,41452,B,34
650,26,26,42,47823,B,19
651,18,13,21,11402,A,20
652,20,34,36,32247,B,27
653,14,45,7,21144,A,35
654,37,31,22,38423,B,35
655,49,42,10,41855,A,58
656,49,26,29,10608,B,24
657,39,31,19,33384,C,59
658,5,41,20,21010,C,40
659,29,14,41,22460,C,44
660,42,36,32,30317,B,33
661,18,27,22,47671,B,46
662,12,30,38,42506,C,54
663,32,17,30,16588,B,41
664,30,11,36,19836,A,33
665,5,48,22,28284,C,31
666,24,24,34,49699,A,20
667,33,32,18,9975,C,16
668,17,35,2,23421,A,53
669,32,41,37,47000,A,47
670,3,3,35,49328,C,24
671,28,17,48,19692,C,57
672,33,20,28,15222,A,27
673,29,27,14,7016,C,24
674,50,22,11,29886,A,32
675,8,12,43,28583,A,52
676,36,3,12,48667,B,25
677,37,40,1,3459,A,49
678,18,13,5,14765,B,46
679,28,4,20,49022,C,41
680,2,29,18,43779,A,57
681,47,32,17,34248,A,55
682,31,36,30,11964,B,18
683,12,4,50,32619,A,50
684,19,46,8,17182,A,49
685,11,6,46,16700,B,47
686,50,27,1,16651,A,31
687,16,16,4,22070,B,45
688,2,38,6,20211,C,30
689,24,10,21,34666,C,47
690,29,23,13,6682,A,50
691,22,20,28,33464,C,33
692,21,10,41,36782,C,41
693,21,21,22,41647,C,53
694,11,35,47,21547,C,29
695,1,26,11,40634,A,23
696,11,24,44,30636,C,48
697,47,43,41,39249,C,52
698,18,36,13,48430,B,32
699,11,14,33,47817,B,42
700,38,13,38,3770,B,44
701,21,35,28,9684,B,29
702,5,4,24,25165,B,47
703,47,21,20,22419,A,32
704,38,27,18,41473,A,54
705,30,32,8,22765,C,28
706,4,38,15,16934,B,58
707,15,8,38,36396,C,58
708,36,8,27,38542,C,43
709,17,4,20,22362,A,28
710,39,29,46,39218,C,29
711,2,16,48,31437,A,41
712,23,40,22,37694,B,40
713,38,39,10,13507,B,50
714,12,25,49,34213,A,46
715,23,30,33,45886,A,16
716,28,6,5,29178,A,53
717,28,2,22,47209,C,30
718,27,22,24,6367,C,19
719,24,15,29,9717,B,46
720,26,20,12,33766,B,40
721,12,33,22,44155,B,55
722,23,39,27,37285,B,57
723,6,20,14,34259,C,34
724,3,12,49,43686,C,41
725,17,27,15,27184,C,27
726,22,17,3,9494,B,33
727,27,2,15,48642,B,23
728,45,13,49,6153,B,53
729,18,15,18,28866,C,56
730,49,30,3,13538,A,37
731,24,33,31,17010,A,59
732,7,29,31,3747,A,44
733,1,5,50,31989,A,42
734,45,18,20,35956,B,24
735,38,44,7,18172,C,54
736,49,34,2,20173,C,42
737,3,19,6,28308,B,55
738,31,1,12,35823,C,57
739,44,25,29,48669,A,17
740,25,39,43,46576,C,49
741,4,14,26,40922,A,25
742,13,43,25,34046,A,21
743,25,32,7,24268,A,59
744,38,50,12,20268,A,59
745,8,28,48,16643,C,57
746,36,41,45,21060,A,38
747,22,4,10,14956,C,48
748,25,37,11,28604,C,56
749,45,24,37,39183,B,45
750,15,31,6,47076,B,48
751,17,46,23,48915,B,36
752,19,3,1,42821,A,25
753,34,48,44,12738,B,60
754,29,30,41,38270,B,56
755,19,29,28,25697,A,45
756,6,7,28,31939,B,41
757,19,31,47,8336,B,39
758,22,4,18,32372,A,33
759,28,4,25,11535,C,19
760,4,37,26,6201,B,45
761,31,7,19,21485,B,37
762,27,49,42,18891,C,40
763,34,6,42,26613,A,56
764,1,12,50,45216,B,29
765,20,32,27,38441,B,57
766,11,2,22,7274,B,16
767,46,11,12,44822,A,45
768,20,5,43,46117,A,48
769,3,50,34,39351,A,17
770,41,20,34,14017,B,57
771,19,38,29,47268,A,54
772,25,10,45,11985,A,30
773,4,28,14,14934,B,42
774,24,50,8,13188,B,53
775,27,45,25,6076,C,51
776,18,20,18,24580,A,23
777,4,15,3,21272,C,19
778,7,23,44,18791,B,46
779,19,50,34,20566,A,22
780,33,14,43,11998,A,51
781,45,34,37,3746,A,34
782,48,33,39,18431,C,49
783,25,35,43,49098,B,40
784,46,13,27,44372,C,27
785,40,21,32,37954,A,40
786,18,49,40,31572,C,55
787,30,1,6,35068,C,57
788,17,22,28,47290,A,50
789,40,5,15,5885,B,21
790,25,27,20,10686,B,46
791,42,37,4,30991,C,50
792,14,21,47,25276,A,28
793,8,37,12,6700,A,49
794,42,43,45,5389,A,25
795,11,29,7,13733,A,21
796,41,26,50,31024,B,46
797,25,30,30,39570,A,39
798,38,10,41,47717,C,46
799,39,47,38,18327,B,24
800,6,25,9,49311,B,25
801,14,11,25,17652,A,30
802,49,37,45,11228,B,60
803,35,11,25,5551,A,24
804,45,26,5,47313,A,27
805,15,49,46,36684,B,19
806,44,20,14,7980,C,45
807,4,36,30,48965,A,44
808,31,48,50,3827,C,60
809,9,15,25,27275,C,52
810,28,40,24,3560,A,57
811,2,29,10,35530,B,25
812,3,28,44,43858,A,32
813,38,22,15,19939,A,22
814,9,20,40,43033,A,41
815,18,4,14,36139,B,48
816,29,47,45,26412,A,54
817,28,13,1,4256,C,49
818,39,8,15,24566,C,16
819,17,47,15,38490,C,22
820,31,49,45,14187,A,46
821,9,46,18,26756,C,52
822,31,10,13,12201,B,42
823,42,38,10,49832,B,23
824,8,7,10,44558,C,26
825,8,8,40,20961,C,16
826,43,43,29,25364,A,40
827,20,19,34,29102,B,44
828,27,46,8,49282,C,34
829,17,2,27,15818,C,39
830,16,44,17,8769,B,25
831,25,21,1,42427,A,42
832,7,44,22,41622,B,49
833,46,35,20,42171,A,45
834,2,29,40,4245,C,18
835,25,22,21,40569,A,60
836,8,20,13,8410,C,51
837,41,41,38,18613,A,23
838,3,46,8,40344,A,42
839,43,29,39,29955,B,33
840,38,37,43,33850,B,60
841,26,38,1,27539,B,27
842,4,24,41,32500,B,47
843,33,32,34,47407,B,20
844,20,5,45,34488,A,55
845,31,1,18,45333,C,39
846,15,19,9,45632,B,52
847,5,14,31,36878,B,56
848,22,24,15,32147,B,40
849,35,39,20,33020,A,21
850,9,20,19,32755,A,21
851,27,41,10,20579,B,25
852,19,43,33,5887,A,52
853,7,4,7,8917,B,44
854,22,37,6,22082,C,45
855,24,39,11,5316,C,46
856,40,31,22,11865,A,59
857,3,1,23,3230,B,59
858,20,22,6,19111,B,47
859,14,21,22,49286,B,21
860,18,33,17,3009,A,26
861,5,49,16,24519,C,25
862,6,38,50,38619,A,49
863,23,20,44,40964,A,40
864,22,40,39,28434,C,32
865,29,38,15,19879,B,42
866,27,13,39,40076,C,49
867,24,2,35,17580,A,35
868,36,11,38,37126,A,46
869,7,13,44,49041,C,39
870,26,24,40,13175,B,27
871,23,2,2,9762,C,47
872,18,34,35,29096,A,53
873,36,40,29,11529,C,52
874,49,8,21,47736,B,58
875,37,38,36,19109,A,45
876,31,9,35,18525,A,56
877,34,19,6,7061,C,48
878,4,27,15,44477,B,56
879,26,6,32,22883,C,41
880,13,25,30,39989,A,43
881,20,18,19,23628,C,24
882,49,7,11,42446,A,18
883,11,27,16,39345,A,19
884,6,41,45,19188,C,31
885,12,12,3,28338,C,37
886,46,15,23,23724,C,39
887,37,2,33,10078,A,20
888,34,32,7,23517,C,48
889,36,17,4,45958,C,41
890,33,24,3,24068,A,16
891,40,28,46,28179,B,22
892,33,40,41,30358,C,22
893,42,4,29,38039,C,25
894,41,36,48,10327,C,30
895,50,30,43,41123,A,29
896,22,6,35,5766,C,44
897,20,3,43,16245,B,37
898,44,16,40,16392,A,36
899,30,29,49,20106,C,55
900,26,33,43,16876,B,31
901,13,45,38,27066,C,31
902,1,1,27,4958,B,16
903,1,31,21,25874,C,33
904,4,18,20,48703,C,17
905,34,25,25,49608,C,43
906,27,12,36,32206,A,58
907,38,30,20,48999,B,46
908,28,50,14,11779,C,54
909,29,31,4,46578,C,60
910,33,7,2,21210,B,58
911,38,47,3,42556,C,25
912,25,42,15,13989,A,41
913,41,5,49,32864,B,59
914,41,20,3,47495,B,36
915,3,43,33,24480,A,49
916,28,3,38,24970,B,55
917,9,47,3,24035,C,30
918,50,16,2,31835,A,44
919,37,29,46,23488,C,29
920,21,46,36,29464,A,38
921,50,27,9,38462,B,23
922,42,34,12,11289,B,59
923,20,34,8,49602,A,28
924,15,1,44,42284,C,29
925,49,12,19,34579,B,53
926,2,24,44,28643,B,58
927,28,24,39,38853,C,39
928,37,15,33,39030,C,42
929,12,14,16,25905,B,58
930,29,24,10,10335,C,54
931,1,25,4,32724,A,48
